exercise_name,muscle_primary,muscle_secondary,is_compound
"Bench Press",pecs.id,triceps.id,"True"
"Dumbbell Bench Press",pecs.id,triceps.id,"True"
"Incline Bench Press",pecs.id,shoulders.id,"True"
"Incline Dumbbell Bench Press",shoulders.id,triceps.id,"True"
"Decline Bench Press",pecs.id,triceps.id,"True"
"Decline Dumbbell Bench Press",pecs.id,triceps.id,"True"
"Board Press (1)",pecs.id,triceps.id,"True"
"Board Press (2)",pecs.id,triceps.id,"True"
"Board Press (3)",pecs.id,triceps.id,"True"
"Board Press (4)",pecs.id,triceps.id,"True"
"Floor Press",pecs.id,triceps.id,"True"
"Dumbbell Floor Press",pecs.id,triceps.id,"True"
"Band Bench Press",pecs.id,triceps.id,"True"
"Reverse Band Bench Press",pecs.id,triceps.id,"True"
"Chain Bench Press",pecs.id,triceps.id,"True"
"Dumbbell Fly",pecs.id,,"False"
"Incline Dumbbell Fly",pecs.id,,"False"
"Decline Dumbbell Fly",pecs.id,,"False"
"Cable Crossover",pecs.id,,"False"
"Overhead Press",front_delt.id,side_delt.id,"True"
"Military Press",front_delt.id,side_delt.id,"True"
"Arnold Press",front_delt.id,side_delt.id,"True"
"Shoulder Press Behind the Neck",side_delt.id,front_delt.id,"True"
"Dumbbell Side Lateral",side_delt.id,,"False"
"Cuban Press",side_delt.id,,"False"
"Rear Delt Raise",rear_delt.id,,"False"
"Face Pull",rear_delt.id,,"False"
"Front Dumbbell Raise",front_delt.id,,"False"
"Front Barbell Raise",front_delt.id,,"False"
"Front Plate Raise",front_delt.id,,"False"
"Power Clean and Press",front_delt.id,side_delt.id,"True"
"Dumbbell Shoulder Press",front_delt.id,side_delt.id,"True"
"One-arm Dumbbell Shoulder Press",front_delt.id,side_delt.id,"True"
"Landmine Press",front_delt.id,side_delt.id,"True"
"Upright Row",side_delt.id,rear_delt.id,"True"
"Pull-ups",lats.id,rhomboids.id,"True"
"Chin-ups",lats.id,rhomboids.id,"True"
"Pulldown",lats.id,rhomboids.id,"True"
"Barbell Pullover",lats.id,,"False"
"Straight-arm Pulldown",lats.id,,"False"
"Pulldown Behind the Neck",lats.id,rhomboids.id,"True"
"Dumbbell Row",lats.id,rhomboids.id,"True"
"Barbell Row",lats.id,rhomboids.id,"True"
"Landmine Row",lats.id,rhomboids.id,"True"
"One-arm Landmine Row",lats.id,rhomboids.id,"True"
"T-bar Row",lats.id,rhomboids.id,"True"
"Deadlift",glutes.id,hamstrings.id,"True"
"Straight-leg Deadlift",glutes.id,hamstrings.id,"True"
"Sumo Deadlift",glutes.id,hamstrings.id,"True"
"Romainian Deadlift",glutes.id,hamstrings.id,"True"
"Rack Pull",glutes.id,hamstrings.id,"True"
"Deficit Deadlift",glutes.id,hamstrings.id,"True"
"One-arm Deadlift",glutes.id,hamstrings.id,"True"
"Good Morning",glutes.id,erectors.id,"True"
"Seated Good Morning",glutes.id,erectors.id,"True"
"Pull-through",glutes.id,erectors.id,"True"
"Clean",glutes.id,erectors.id,"True"
"Clean and Jerk",glutes.id,erectors.id,"True"
"Snatch",glutes.id,erectors.id,"True"
"Power Clean",glutes.id,erectors.id,"True"
"Power Clean and Jerk",glutes.id,erectors.id,"True"
"Dumbbell Clean and Jerk",glutes.id,erectors.id,"True"
"Hang Clean",glutes.id,erectors.id,"True"
"Hang Snatch",glutes.id,erectors.id,"True"
"High Pull",glutes.id,traps.id,"True"
"Snatch High Pull",glutes.id,traps.id,"True"
"Barbell Shrug",traps.id,,"False"
"Dumbbell Shrug",traps.id,,"False"
"Jump Shrug",traps.id,,"False"
"Barbell Curl",biceps.id,,"False"
"Dumbbell Curl",biceps.id,,"False"
"Cable Curl",biceps.id,,"False"
"Preacher Curl",biceps.id,,"False"
"EZ Bar Curl",biceps.id,,"False"
"Spider Curl",biceps.id,,"False"
"Incline Dumbbell Curl",biceps.id,,"False"
"Drag Curl",biceps.id,,"False"
"Concentration Curl",biceps.id,,"False"
"Hammer Curl",brachialis,biceps.id,"False"
"Reverse Curl",brachioradialis.id,biceps.id,"False"
"Bench Dips",triceps.id,,"False"
"Parallel Bar Dips",triceps.id,chest.id,"True"
"Skull Crushers",triceps.id,,"False"
"Cable Triceps Extension",triceps.id,,"False"
"Incline Barbell Triceps Extension",triceps.id,,"False"
"Dumbbell Kickback",triceps.id,,"False"
"Close-grip Bench Press",chest.id,triceps.id,"True"
"JM Press",triceps.id,chest.id,"True"
"Dumbbell Triceps Extension",triceps.id,,"False"
"Tricep Pushdown",triceps.id,,"False"
"Decline Triceps Extension",triceps.id,,"False"
"One-arm Dumbbell Triceps Extension",triceps.id,,"False"
"Squat",quads.id,glutes.id,"True"
"Front Squat",quads.id,glutes.id,"True"
"Hack Squat",quads.id,glutes.id,"True"
"Box Squat",quads.id,glutes.id,"True"
"Zercher Squat",quads.id,glutes.id,"True"
"Pistol Squat",quads.id,glutes.id,"True"
"Overhead Squat",quads.id,glutes.id,"True"
"Goblet Squat",quads.id,glutes.id,"True"
"Landmine Squat",quads.id,glutes.id,"True"
"Lunge",quads.id,glutes.id,"True"
"Reverse Lunge",quads.id,glutes.id,"True"
"Step-up",quads.id,glutes.id,"True"
"Leg Press",quads.id,glutes.id,"True"
"Leg Extension",quads.id,,"False"
"Leg Curl",biceps_femoris.id,,"False"
"Calf Raise",calves.id,,"False"
"Seated Calf Raise",calves.id,,"False"
"Hip Adduction Machine",adductors.id,,"False"
"Hip Abduction Machine",abductors.id,,"False"
"Crab Walk",abductors.id,,"False"
"Monster Walk",abductors.id,,"False"",abs.id,,"False"
"Sit-up",abs.id,,"False"
"Decline Sit-up",abs.id,,"False"
"Hanging Leg Raise",abs.id,,"False"
"Lying Leg Raise",abs.id,,"False"
"Incline Leg Raise",abs.id,,"False"
"Roman Chair Sit-up",abs.id,,"False"
"Crunches",abs.id,,"False"
"Twisting Crunch",abs.id,obliques.id,"False"
"Twisting Sit-ups",abs.id,obliques.id,"False"
"Side Crunch",obliques.id,,"False"
"Russian Twist",obliques.id,abs.id,"False"
"Side Bends",obliques.id,,"False"
"Back Hyperextension",erectors.id,,"False"